Collecting data to data/collection_20260202_024420.jsonl
Press Ctrl+C to stop

[  10] BRTI: $76,796.57 | Kalshi: 0.28
[1790] BRTI: $78,943.44 | Kalshi: 0.87
[1800] BRTI: $78,957.33 | Kalshi: 0.99
[1810] BRTI: $78,824.96 | Kalshi: 0.20
[1820] BRTI: $78,763.97 | Kalshi: 0.05
[1830] BRTI: $78,680.17 | Kalshi: 0.45
[1840] BRTI: $78,571.03 | Kalshi: 0.29
[1850] BRTI: $78,604.04 | Kalshi: 0.12
[1860] BRTI: $78,375.68 | Kalshi: 0.35
[1870] BRTI: $78,692.70 | Kalshi: 0.90
[1880] BRTI: $78,655.47 | Kalshi: 0.95
[1890] BRTI: $78,587.67 | Kalshi: 0.54
[1900] BRTI: $78,582.62 | Kalshi: 0.49
[1910] BRTI: $78,628.56 | Kalshi: 0.75
[1920] BRTI: $78,541.44 | Kalshi: 0.42
[1930] BRTI: $78,392.97 | Kalshi: 0.15
[1940] BRTI: $78,466.84 | Kalshi: 0.08
[1950] BRTI: $78,540.91 | Kalshi: 0.49
[1960] BRTI: $78,462.40 | Kalshi: 0.33
[1970] BRTI: $78,408.60 | Kalshi: 0.05
[1980] BRTI: $78,404.35 | Kalshi: 0.42
[1990] BRTI: $78,314.13 | Kalshi: 0.25
[2000] BRTI: $78,440.66 | Kalshi: 0.52
[2010] BRTI: $78,469.45 | Kalshi: 0.40
[2020] BRTI: $78,344.98 | Kalshi: 0.10
[2030] BRTI: $78,355.98 | Kalshi: 0.03
[2040] BRTI: $78,295.79 | Kalshi: 0.36
[2050] BRTI: $78,470.62 | Kalshi: 0.72
[2060] BRTI: $78,438.15 | Kalshi: 0.54
[2070] BRTI: $78,352.86 | Kalshi: 0.35
[2080] BRTI: $78,450.15 | Kalshi: 0.71
[2090] BRTI: $78,460.67 | Kalshi: 0.92
[2100] BRTI: $78,324.56 | Kalshi: 0.42
[2110] BRTI: $78,262.68 | Kalshi: 0.19
[2120] BRTI: $78,178.26 | Kalshi: 0.00
[2130] BRTI: $78,084.03 | Kalshi: 0.29
[2140] BRTI: $78,059.59 | Kalshi: 0.21
[2150] BRTI: $77,998.75 | Kalshi: 0.01
[2160] BRTI: $78,062.04 | Kalshi: 0.73
[2170] BRTI: $78,253.81 | Kalshi: 0.95
[2180] BRTI: $78,313.65 | Kalshi: 0.99
[2190] BRTI: $78,332.98 | Kalshi: 0.55
[2200] BRTI: $78,203.24 | Kalshi: 0.15
[2210] BRTI: $78,177.50 | Kalshi: 0.00
[2220] BRTI: $78,368.02 | Kalshi: 0.94
[2230] BRTI: $78,434.70 | Kalshi: 0.96
[2240] BRTI: $78,415.57 | Kalshi: 0.99
[2250] BRTI: $78,372.29 | Kalshi: 0.59
[2260] BRTI: $78,476.63 | Kalshi: 0.84
[2270] BRTI: $78,463.42 | Kalshi: 0.99
[2280] BRTI: $78,581.71 | Kalshi: 0.83
[2290] BRTI: $78,703.26 | Kalshi: 0.96
[2300] BRTI: $78,757.09 | Kalshi: 0.99
[2310] BRTI: $78,596.62 | Kalshi: 0.06
[2320] BRTI: $78,598.63 | Kalshi: 0.05
[2330] BRTI: $78,621.81 | Kalshi: 0.00
[2340] BRTI: $78,721.33 | Kalshi: 0.92
[2350] BRTI: $78,725.52 | Kalshi: 0.97
[2360] BRTI: $78,776.34 | Kalshi: 0.45
[2370] BRTI: $78,760.53 | Kalshi: 0.32
[2380] BRTI: $78,740.87 | Kalshi: 0.33
[2390] BRTI: $78,750.78 | Kalshi: 0.15
[2400] BRTI: $78,666.23 | Kalshi: 0.29
[2410] BRTI: $78,674.28 | Kalshi: 0.18
[2420] BRTI: $78,760.10 | Kalshi: 0.62
[2430] BRTI: $78,687.70 | Kalshi: 0.28
[2440] BRTI: $78,591.70 | Kalshi: 0.02
[2450] BRTI: $78,561.18 | Kalshi: 0.53
[2460] BRTI: $78,757.71 | Kalshi: 0.96
[2470] BRTI: $78,862.14 | Kalshi: 0.99
[2480] BRTI: $78,814.22 | Kalshi: 0.41
[2490] BRTI: $78,754.14 | Kalshi: 0.12
[2500] BRTI: $78,692.29 | Kalshi: 0.01
[2510] BRTI: $78,654.32 | Kalshi: 0.34
[2520] BRTI: $78,531.26 | Kalshi: 0.07
[2530] BRTI: $78,408.27 | Kalshi: 0.00
[2540] BRTI: $78,562.16 | Kalshi: 0.68
[2550] BRTI: $78,789.91 | Kalshi: 0.95
[2560] BRTI: $78,785.06 | Kalshi: 0.99
[2570] BRTI: $78,846.73 | Kalshi: 0.42
[2580] BRTI: $78,815.07 | Kalshi: 0.37
[2590] BRTI: $78,836.31 | Kalshi: 0.27
[2600] BRTI: $78,909.43 | Kalshi: 0.56
[2610] BRTI: $78,872.15 | Kalshi: 0.42
[2620] BRTI: $78,964.78 | Kalshi: 0.93
[2630] BRTI: $79,088.03 | Kalshi: 0.69
[2640] BRTI: $78,858.69 | Kalshi: 0.05
[2650] BRTI: $78,809.64 | Kalshi: 0.00
[2660] BRTI: $78,747.39 | Kalshi: 0.26
[2670] BRTI: $78,831.68 | Kalshi: 0.57
[2680] BRTI: $78,816.24 | Kalshi: 0.33
[2690] BRTI: $78,820.48 | Kalshi: 0.31
[2700] BRTI: $78,809.07 | Kalshi: 0.26
[2710] BRTI: $78,819.57 | Kalshi: 0.02
[2720] BRTI: $78,876.29 | Kalshi: 0.46
[2730] BRTI: $78,940.74 | Kalshi: 0.78
[2740] BRTI: $78,967.84 | Kalshi: 0.98
[2750] BRTI: $78,794.38 | Kalshi: 0.13
[2760] BRTI: $78,707.75 | Kalshi: 0.02
[2770] BRTI: $78,512.60 | Kalshi: 0.00
[2780] BRTI: $78,598.26 | Kalshi: 0.86
[2790] BRTI: $78,802.34 | Kalshi: 0.96
[2800] BRTI: $78,649.92 | Kalshi: 0.99
[2810] BRTI: $78,625.41 | Kalshi: 0.53
[2820] BRTI: $78,567.96 | Kalshi: 0.08
[2830] BRTI: $78,393.03 | Kalshi: 0.00
[2840] BRTI: $78,000.49 | Kalshi: 0.03
[2850] BRTI: $77,905.36 | Kalshi: 0.00
[2860] BRTI: $77,750.72 | Kalshi: 0.45
[2870] BRTI: $77,655.04 | Kalshi: 0.28
[2880] BRTI: $77,973.28 | Kalshi: 0.91
[2890] BRTI: $77,995.33 | Kalshi: 0.45
[2900] BRTI: $77,806.84 | Kalshi: 0.15
[2910] BRTI: $78,080.16 | Kalshi: 0.62
[2920] BRTI: $78,225.72 | Kalshi: 0.28
[2930] BRTI: $78,418.52 | Kalshi: 0.78
[2940] BRTI: $78,426.30 | Kalshi: 0.94
[2950] BRTI: $78,505.83 | Kalshi: 0.31
[2960] BRTI: $78,511.17 | Kalshi: 0.34
[2970] BRTI: $78,602.25 | Kalshi: 0.84
[2980] BRTI: $78,725.82 | Kalshi: 0.40
[2990] BRTI: $78,555.12 | Kalshi: 0.12
[3000] BRTI: $78,646.24 | Kalshi: 0.12
